Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,37585.02508,38897.12267,,,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3620.921502,3697.459305,3786.35731,3836.57143,3677.111255
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1981.118069,2058.400221,2082.635648,2152.366489,2077.874554
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4069.005667,4115.64548,4231.815774,4335.199547,4240.534782
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7103.226431,7310.896589,7099.971958,6952.419362,6443.03268
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12078.79974,12770.971,13554.89895,14336.77302,13899.93398
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13643.34477,14158.44404,14593.96287,14888.6399,14067.95084
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,63968.88804,67183.60531,68576.11552,71150.54214,66746.63494
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20307.87005,23597.11775,23293.39863,22999.27505,20762.99168
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10704.22976,12115.13929,13020.39632,14231.18019,13307.15661
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19920.26578,19840.28404,21521.88505,22774.1742,18235.07517
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,47255.30701,48398.5497,50100.22467,52030.64391,52397.38705
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52684.01711,54172.98679,57059.53894,58641.29812,55648.87456
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14371.02274,14121.40694,14550.76282,15052.79387,14474.31336
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,796.9440834,773.5728587,779.8081757,783.4519832,770.8760716
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48597.39998,50442.27054,52623.55967,54918.1662,52626.58164
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3004.807805,3044.517156,3236.670417,3426.329654,3504.118981
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1895.295066,2044.386987,2168.662213,2267.506638,2273.170019
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3848.957664,4160.703325,4547.480016,4954.761848,5136.739645
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20074.2857,21469.93915,22957.40013,24707.0626,24619.95089
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44768.97091,47709.77802,47503.06194,47228.10004,43739.56152
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34338.51956,35917.75703,37416.97226,37973.24725,32526.45224
